,Season,Episode,Character,Line,Processed Line
0,10,1,Stan,"You guys, you guys! Chef is going away.",you guys you guys chef is going away
1,10,1,Kyle,Going away? For how long?,going away for how long
4,10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club.",chef said hes been bored so he joining a group called the super adventure club
9,10,1,Cartman,I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him!,im gonna miss him  im gonna miss chef and i and i dont know how to tell him
10,10,1,Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend.",dude how are we gonna go on chef was our fuh fffriend
17,10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!",goodbye chef have a great time with the super adventure club
19,10,1,Kyle,"Draw two card, fatass.",draw two card fatass
20,10,1,Cartman,"Reverse to you, Jew.",reverse to you jew
26,10,1,Kyle,Chef! I can't believe you're back!,chef i cant believe youre back
28,10,1,Stan,But are you back for good?,but are you back for good
37,10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?",ohhh so have you decided you can still belong to the super adventure club but live here in south park again
39,10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?",well it seems like the super adventure club was just what you needed chef you must be feeling very happy that you found a club to belong to with new friends but that you can also live here in south park with all your old friends whom you care for deeply  right
43,10,1,Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.",well come on everybody im sure chef would like a little time to get moved back in
46,10,1,Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.",well i guess well see you in school tomorrow chef
48,10,1,Stan,"Right. Uh, see ya.",right uh see ya
49,10,1,Cartman,"Uh, guys? Did Chef seem a little, uh, trippy to you?",uh guys did chef seem a little uh trippy to you
50,10,1,Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.",well look he said hes happier now maybe he just needs to rest up a little
51,10,1,Kyle,Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.,yeah im sure whatever that super adventure club does is pretty tiring
52,10,1,Stan,"Yeah, but whatever, I'm just glad he's back for good.",yeah but whatever im just glad hes back for good
55,10,1,Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.",oh boy oh boy i cant wait to have chefs lunch food again
56,10,1,Kyle,Yeah. I hope he makes his Salisbury steak with buttered noodles!,yeah i hope he makes his salisbury steak with buttered noodles
72,10,1,Kyle,...Chef?? A-are you okay?, chef aare you okay
74,10,1,Stan,"Dude, what are you saying??",dude what are you saying
78,10,1,Kyle,This doesn't make any sense!,this doesnt make any sense
90,10,1,Butters,My Uncle Bud did that to me once!,my uncle bud did that to me once
92,10,1,Kyle,"Goddammit, Chef isn't like that! Something funny is going on around here!",goddammit chef isnt like that something funny is going on around here
95,10,1,Kyle,"Chef, the police are asking questions about you!",chef the police are asking questions about you
97,10,1,Stan,"No, Chef, we don't wanna make love to you!",no chef we dont wanna make love to you
99,10,1,Kyle,"Chef, CHEF! You need to get out of here before you get arrested, all right?!",chef chef you need to get out of here before you get arrested all right
101,10,1,Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.", man i cant believe all this time chef just wanted us for sex
102,10,1,Kyle,"He didn't want us for sex, fatass! Something is making him say those things.",he didnt want us for sex fatass something is making him say those things
104,10,1,Kyle,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.",something must have happened to chef while he was gone maybe he hit his head or or got stuck in some quantum time vortex
105,10,1,Stan,Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.,well look he spent the last three months with that adventurers club maybe they know what happened to him
108,10,1,Kyle,"All right, come on guys!",all right come on guys
109,10,1,Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs.",hey you guys you know what they call a jewish womans boobs jewbs
111,10,1,Kyle,"Ahh, hi, can we speak to the head guy or something?",ahh hi can we speak to the head guy or something
118,10,1,Kyle,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids.",uh hi our friend joined your club a while back and now he wants to molest kids
123,10,1,Kyle,"Well, we thought you went exploring and like, hunting and stuff!",well we thought you went exploring and like hunting and stuff
130,10,1,Kyle,"Dude, what are you doing?!",dude what are you doing
132,10,1,Kyle,Just what the hell is that thing?!,just what the hell is that thing
134,10,1,Kyle,HA! I knew it!,ha i knew it
136,10,1,Kyle,The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!,the reason chef has been saying those terrible things about us is because hes been brainwashed by this fruity little club
137,10,1,Cartman,"Oh, son of a bitch!",oh son of a bitch
139,10,1,Stan,"You need to see a psychiatrist, Chef. It's for your own good.",you need to see a psychiatrist chef its for your own good
143,10,1,Kyle,"All right, come on.",all right come on
145,10,1,Kyle,"Hi, uh- our friend has been brainwashed by some fruity little club.",hi uh our friend has been brainwashed by some fruity little club
147,10,1,Stan,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.",yeah he joined the super adventure club and they convinced him having sex with children was okay with a little thing that goes whrrrrrr
149,10,1,Stan,"No, that's the Adventure Club. The Super Adventure Club has sex with children.",no thats the adventure club the super adventure club has sex with children
155,10,1,Cartman,"No, Chef has always been super-cool.",no chef has always been supercool
158,10,1,Cartman,So what can we do??,so what can we do
160,10,1,Kyle,"But we don't have years! If Chef keeps this up, he's gonna go to jail forever!",but we dont have years if chef keeps this up hes gonna go to jail forever
162,10,1,Stan,Having sex with women.,having sex with women
169,10,1,Kyle,No thanks. We're trying to unbrainwash our friend.,no thanks were trying to unbrainwash our friend
171,10,1,Cartman,"Come on, bitch! Dance!",come on bitch dance
173,10,1,Cartman,"Bitch, I'll twist your nuts off!",bitch ill twist your nuts off
175,10,1,Stan,"Come on guys, we might as well go.",come on guys we might as well go
183,10,1,Cartman,"It's okay Chef. Go on, remember!",its okay chef go on remember
185,10,1,Kyle,"Come on, Chef! You can do it!",come on chef you can do it
194,10,1,Stan,Where's Chef?! What have you done with him?!,wheres chef what have you done with him
196,10,1,Cartman,"Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!",look if you wanna go around the world molesting kids thats totally fine but why do you need chef
198,10,1,Stan,"Oh Jesus, here we go.",oh jesus here we go
200,10,1,Stan,We don't wanna hear it.,we dont wanna hear it
204,10,1,Kyle,...Do you realize how retarded that sounds?, do you realize how retarded that sounds
206,10,1,Stan,"Yeah, it's way, way more retarded.",yeah its way way more retarded
208,10,1,Stan,We're not leaving without Chef.,were not leaving without chef
210,10,1,Kyle,We're not going anywhere without Chef.,were not going anywhere without chef
215,10,1,Stan,"No, you don't understand! They've got our friend in the Deprivation Room!",no you dont understand theyve got our friend in the deprivation room
217,10,1,Kyle,"Sorry, dude, but this fruity little club isn't taking our friend!",sorry dude but this fruity little club isnt taking our friend
222,10,1,Cartman,Kenny! Spin Blossom Nut Squash!,kenny spin blossom nut squash
237,10,1,Kyle,"Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?",yeah he wanted adventure not a bunch of ridiculous bullcrap right chef  chef
239,10,1,Stan,"Chef, we love you.",chef we love you
241,10,1,Kyle,"No! Chef, they've filled your head with lies! Can't you see that??",no chef theyve filled your head with lies cant you see that
253,10,1,Stan,Oh my God... They killed Chef.,oh my god  they killed chef
254,10,1,Kyle,You bastards. YOU BASTARDS!,you bastards you bastards
256,10,1,Cartman,"Maybe- maybe he's still okay.  No, really. They say the last thing you do before you die is crap your-",maybe maybe hes still okay  no really they say the last thing you do before you die is crap your
259,10,1,Stan,"Come on, let's go.",come on lets go
260,10,1,Kyle,"We're all here today because Chef has been such an important part of our lives. A lot of us don't agree with the choices Chef has made in the past few days.  Some of us... feel hurt... and confused that he seemed to turn his back on us.  But we can't let the events of the last week take away the memories of how much Chef made us smile.  I'm gonna remember Chef as the jolly old guy who always broke into song.  I'm gonna remember Chef... as the guy who gave us advice to live by.  So you see, we shouldn't be mad at Chef for leaving us. We should be mad at that little fruity club for scrambling his brains.",were all here today because chef has been such an important part of our lives a lot of us dont agree with the choices chef has made in the past few days  some of us  feel hurt  and confused that he seemed to turn his back on us  but we cant let the events of the last week take away the memories of how much chef made us smile  im gonna remember chef as the jolly old guy who always broke into song  im gonna remember chef  as the guy who gave us advice to live by  so you see we shouldnt be mad at chef for leaving us we should be mad at that little fruity club for scrambling his brains
263,10,1,Kyle,"And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all.",and in the end i know that somewhere out there  theres the good part of chef  thats still alive in us all
281,10,2,Kyle,"Dad, can we go home? All you ever do since you got this car is drive around and show it off!",dad can we go home all you ever do since you got this car is drive around and show it off
286,10,2,Kyle,"Dad, I think Ike is starving to death.",dad i think ike is starving to death
290,10,2,Kyle,"Dad, can we go home, please?",dad can we go home please
292,10,2,Kyle,"But Dad, I want-",but dad i want
295,10,2,Kyle,"Aw, hey dude. What are you doing here?",aw hey dude what are you doing here
296,10,2,Stan,Helping my Dad pick out some cool new power tools. What are you doing?,helping my dad pick out some cool new power tools what are you doing
297,10,2,Kyle,Helping my Dad give people fake tickets.,helping my dad give people fake tickets
300,10,2,Randy,"A ticket? ""Failure to care about the environment"" Oh Goddammit, did you do this, Gerald?!",a ticket failure to care about the environment oh goddammit did you do this gerald
