Season,Episode,Character,Line,Processed Line
10,1,Stan,"You guys, you guys! Chef is going away.",you guys you guys chef is going away
10,1,Kyle,Going away? For how long?,going away for how long
10,1,Stan,"Chef said he's been bored, so he joining a group called the Super Adventure Club.",chef said hes been bored so he joining a group called the super adventure club
10,1,Cartman,I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him!,im gonna miss him  im gonna miss chef and i and i dont know how to tell him
10,1,Stan,"Dude, how are we gonna go on? Chef was our fuh...f-ffriend.",dude how are we gonna go on chef was our fuh fffriend
10,1,Randy,"Good-bye, Chef! Have a great time with the Super Adventure Club!",goodbye chef have a great time with the super adventure club
10,1,Kyle,"Draw two card, fatass.",draw two card fatass
10,1,Cartman,"Reverse to you, Jew.",reverse to you jew
10,1,Kyle,Chef! I can't believe you're back!,chef i cant believe youre back
10,1,Stan,But are you back for good?,but are you back for good
10,1,Randy,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?",ohhh so have you decided you can still belong to the super adventure club but live here in south park again
10,1,Randy,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?",well it seems like the super adventure club was just what you needed chef you must be feeling very happy that you found a club to belong to with new friends but that you can also live here in south park with all your old friends whom you care for deeply  right
10,1,Randy,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.",well come on everybody im sure chef would like a little time to get moved back in
10,1,Kyle,"Well, I- guess we'll see you in school tomorrow, Chef.",well i guess well see you in school tomorrow chef
10,1,Stan,"Right. Uh, see ya.",right uh see ya
10,1,Cartman,"Uh, guys? Did Chef seem a little, uh, trippy to you?",uh guys did chef seem a little uh trippy to you
10,1,Stan,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.",well look he said hes happier now maybe he just needs to rest up a little
10,1,Kyle,Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.,yeah im sure whatever that super adventure club does is pretty tiring
10,1,Stan,"Yeah, but whatever, I'm just glad he's back for good.",yeah but whatever im just glad hes back for good
10,1,Cartman,"Oh boy oh boy, I can't wait to have Chef's lunch food again.",oh boy oh boy i cant wait to have chefs lunch food again
10,1,Kyle,Yeah. I hope he makes his Salisbury steak with buttered noodles!,yeah i hope he makes his salisbury steak with buttered noodles
10,1,Kyle,...Chef?? A-are you okay?, chef aare you okay
10,1,Stan,"Dude, what are you saying??",dude what are you saying
10,1,Kyle,This doesn't make any sense!,this doesnt make any sense
10,1,Butters,My Uncle Bud did that to me once!,my uncle bud did that to me once
10,1,Kyle,"Goddammit, Chef isn't like that! Something funny is going on around here!",goddammit chef isnt like that something funny is going on around here
10,1,Kyle,"Chef, the police are asking questions about you!",chef the police are asking questions about you
10,1,Stan,"No, Chef, we don't wanna make love to you!",no chef we dont wanna make love to you
10,1,Kyle,"Chef, CHEF! You need to get out of here before you get arrested, all right?!",chef chef you need to get out of here before you get arrested all right
10,1,Cartman,"...Man, I can't believe all this time, Chef just wanted us for sex.", man i cant believe all this time chef just wanted us for sex
10,1,Kyle,"He didn't want us for sex, fatass! Something is making him say those things.",he didnt want us for sex fatass something is making him say those things
10,1,Kyle,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.",something must have happened to chef while he was gone maybe he hit his head or or got stuck in some quantum time vortex
10,1,Stan,Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.,well look he spent the last three months with that adventurers club maybe they know what happened to him
10,1,Kyle,"All right, come on guys!",all right come on guys
10,1,Cartman,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs.",hey you guys you know what they call a jewish womans boobs jewbs
10,1,Kyle,"Ahh, hi, can we speak to the head guy or something?",ahh hi can we speak to the head guy or something
10,1,Kyle,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids.",uh hi our friend joined your club a while back and now he wants to molest kids
10,1,Kyle,"Well, we thought you went exploring and like, hunting and stuff!",well we thought you went exploring and like hunting and stuff
10,1,Kyle,"Dude, what are you doing?!",dude what are you doing
10,1,Kyle,Just what the hell is that thing?!,just what the hell is that thing
10,1,Kyle,HA! I knew it!,ha i knew it
10,1,Kyle,The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!,the reason chef has been saying those terrible things about us is because hes been brainwashed by this fruity little club
10,1,Cartman,"Oh, son of a bitch!",oh son of a bitch
10,1,Stan,"You need to see a psychiatrist, Chef. It's for your own good.",you need to see a psychiatrist chef its for your own good
10,1,Kyle,"All right, come on.",all right come on
10,1,Kyle,"Hi, uh- our friend has been brainwashed by some fruity little club.",hi uh our friend has been brainwashed by some fruity little club
10,1,Stan,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.",yeah he joined the super adventure club and they convinced him having sex with children was okay with a little thing that goes whrrrrrr
10,1,Stan,"No, that's the Adventure Club. The Super Adventure Club has sex with children.",no thats the adventure club the super adventure club has sex with children
10,1,Cartman,"No, Chef has always been super-cool.",no chef has always been supercool
10,1,Cartman,So what can we do??,so what can we do
10,1,Kyle,"But we don't have years! If Chef keeps this up, he's gonna go to jail forever!",but we dont have years if chef keeps this up hes gonna go to jail forever
