Character,Line
Cartman,-and then tried to fuck me out of your business!
Stan,"Come on, let's go."
Stan,I wanna return this Margaritaville.
Stan,"Yeah, I'm sure that's what Cartman would say too."
Stan,"Okay, it's clear.  Okay. Me and Butters are gonna go up and take Cartman's kidney out of him. Kenny, you stay here and guard his mom's door here with Timmy."
Kyle,"Dreidel, dreidel, dreidel, with dreidel I shall play."
Kyle,Wow. Did he say that in the Bible?
Kyle,Hey dudes.  Sorry I couldn't make it yesterday. What'd you guys do?
Cartman,The people of Iraq deserve a good Christmas just like everyone else.
Cartman,"YOU said I had to wait till my birthday to get an iPad! So the one I rubbed in everyone's faces today isn't real and tomorrow everyone's gonna call me a liar. Would you mind loaning me some of your lipstick, Mom? Because I wanna at least look pretty the next time you decide to fuck me!"
Cartman,"Go ahead, the door's right there.  Bye-bye, have fun, we will miss youuu.  How do I reach these keeds?"
Stan,I don't like it. It's spooky.
Stan,"Guys... guys...  Look, I really think it's time for us to do something. This is all getting way out of hand."
Kyle,He'll view it as a challenge when he's getting his ass kicked!
Kyle,"All right, this is it! If Wall-Mart has a heart, we have to find it and destroy it! No matter what the Wall-Mart does to try to stop us, we have to be strong! Let's do it."
Stan,I just opened an account.
Cartman,"I'll bet you can't, because you guys are all pussies!"
Stan,We shouldn't have to make a bunch of new friends somewhere else. We're a team!
Stan,"Dude, what's the matter?"
Cartman,"Bark bark bark.  Okay, so then we put my mom's hand lotion in this little basket  and lower it down to Polly Prissy Pants."
Cartman,...well Token doesn't know that.
Stan,Wait-wait-wait-wait-wait. You mean that this whole thing has just been a way for you to make ten million dollars?
Butters,You think Jewpacabra is here?
Butters,Hwuhh. That'll make them awful sore.
Stan,"Well you've gotta tell him to stop, Mom!"
Mr. Garrison,Then who was it?
Randy,"Why yes, Stan. Captain Hindsight is our protector and guardian. We're just thankful he was there for that fire. And now we can all eat in peace."
Kyle,Um I think we're just heading deeper into the mountains.
Kyle,Oh for the love of God!
Kyle,I'm not being in any  faggy boy band!
Stan,Let's watch something else.
Cartman,"Well, because... AWESOM-O can, like, back it up for you, and make copies and stuff. I am AWESOM-O."
Kyle,"Good for you, Charlie!"
Stan,We're gonna charge the front door and go get it.
Kyle,It's too late. The treatment would have killed it all.
Stan,"Dude, the hell just happen?"
Stan,I think we all learned it's best to leave talent to the talented people.
Stan,"Van Gelder?? What the hell are you doing on our bus?! Mr. Garrison, there's some freaky kid from the planetarium on our bus!"
Butters,They're gonna do it!
Randy,"No. I've got it all figured out, son. You have to kill the alien."
Randy,"Our son, banished! Where did we go wrong?!"
Stan,"Okay, watch, Kyle. Uh, it's an older man, someone very close to you."
Stan,"I have to do this, okay? I have to!"
Stan,Are you the head of Homeless Studies?
Stan,"Then let's go, dude!"
Cartman,"Get down! We can do this the easy way, or we can do it Dawg-style!"
Kyle,"Pot's illegal too, but people still manage to find it. Ever since that first time Kenny cheesed, he hasn't been the same. You've all noticed the change in him. I'll bet Kenny's at home cheesing right now."
Stan,"Hey just one thing, Morgan Freeman:  How come every time something convoluted needs explaining, you show up?"
Stan,"Why would God let Kenny die, Chef? Why? Kenny's my fr-f-f-friend. Why can't God take someone else's f-f-friend?"
Cartman,Captain Cartman reporting from Shuttlecraft Spontaneity. Approaching planet Omega Nine.
Butters,Wuh-are my... mom and dad back home yet?
Stan,"No dude, dude. We've all been here the entire time."
Cartman,"Why? It's perfect. If everyone's blaming the tobacco companies, then nobody's blaming us."
Randy,My son is out there playing that game! It's heartwarming to see you have such high regard for his safety!
Stan,"Let's just do this, all right?"
Cartman,"You ready?  Tonight, on Cop Drama, on TV, they're gonna say,  ""Shit."""
Mr. Garrison,"""But teacher, I don't want to do my math problems."""
Stan,How should we split up?
Cartman,"Hey, get offa him! He's not dead yet!"
Butters,Are you crazy?! This is my dad's drone!
Kyle,All made up. Not real. Nothing's real.
Cartman,"We're trying to find the brown noise—it's this one pitch, this certain frequency that makes people lose bowel control."
Cartman,I'll make you eat your parents!
Cartman,"Okay, let's go, Jew!"
Cartman,Isn't it possible I just want to learn more about the Jewish faith?
Cartman,"Just do what you were sent to do, dickface!"
Kyle,Stan! You've got to help us become good Christians. Please.
